asset,transaction_cost,risk_lambda,All_History_MAE_bp,Lowest_MAE_Memory_Rule,Median_Abs_DeltaV_bp,Median_SE_bp,Point_Selection_Accuracy
IWM,0.0,0.0,4.874090418707493,all_history,0.3338898030507103,1.8498926385827064,0.45454545454545453
IWM,0.0005,0.0,4.602794650204815,all_history,0.3462823793366422,1.8627948268585062,0.48787878787878786
IWM,0.001,0.0,4.753840505687426,all_history,0.3468774158002522,2.2143211185771374,0.4909090909090909
QQQ,0.0,0.0,5.990851418648754,all_history,0.29431793207017587,4.071861088322443,0.4873134328358209
QQQ,0.0005,0.0,6.579803828395274,all_history,0.3093689638648673,3.4186958447342715,0.5007462686567165
QQQ,0.001,0.0,5.410586511222296,all_history,0.29861597641034576,3.1264233302493096,0.5186567164179104
SPY,0.0,0.0,4.571186588696674,all_history,0.2640485676869576,2.067449512298678,0.46492537313432836
SPY,0.0005,0.0,4.262396137083953,all_history,0.2576943305905,1.8744789453794781,0.5022388059701492
SPY,0.001,0.0,4.790649228333144,all_history,0.2709138369983818,2.5109280654138724,0.505223880597015
