asset,Median_Abs_DeltaV_bp,Median_SE_bp,Gap_to_SE,Point_Selection_Accuracy,Point_Adoption_Rate,Point_Worse_Adoption_Rate,LCB_Selection_Accuracy,LCB_Adoption_Rate,LCB_Worse_Adoption_Rate,N_Windows,N_Seeds,candidate_history,baseline_history
IWM,0.24090885004781926,1.478399230345628,0.16295249963807024,0.48787878787878786,0.36742424242424243,0.5237113402061856,0.5037878787878788,0.024242424242424242,0.53125,66,20,252,756
QQQ,0.23423364936445468,2.930010168410517,0.07994294760127835,0.5059701492537313,0.41194029850746267,0.48188405797101447,0.49850746268656715,0.03582089552238806,0.3958333333333333,67,20,252,756
SPY,0.21054335129760332,1.4903368143642428,0.1412723280189641,0.49402985074626865,0.3373134328358209,0.5486725663716814,0.5328358208955224,0.025373134328358207,0.38235294117647056,67,20,252,756
