asset,estimator,MAE_bp,RMSE_bp,Bias_bp,Mean_ESS,Mean_ESS_Fraction,N_Comparisons,Best_Policy_Accuracy,Mean_Spearman
IWM,DM,5.898981152824787,9.237478390699295,-2.460260760083085,40.89872712654146,0.5112340890817683,5280,0.3378787878787879,-0.0203030303030303
IWM,SNIPS,6.687058000804085,15.880827298856191,0.32054101758192566,40.89872712654146,0.5112340890817683,5280,0.3977272727272727,0.0659090909090909
IWM,IPS,6.792427813869551,15.943299198875167,0.35466360872160346,40.89872712654146,0.5112340890817683,5280,0.4022727272727273,0.06454545454545454
IWM,DR,7.235235013562053,16.588020618513177,0.3919257569310589,40.89872712654146,0.5112340890817683,5280,0.3946969696969697,0.05954545454545454
QQQ,SNIPS,6.4219774474540525,14.407127007809699,0.00888367151807921,33.79834707936081,0.4224793384920101,5360,0.3962686567164179,0.08415545590433483
QQQ,IPS,6.652440996954272,15.518572170117944,-0.02590833895256845,33.79834707936081,0.4224793384920101,5360,0.39477611940298507,0.08639760837070254
QQQ,DR,7.8977288934559375,16.318345115161865,-0.004300445626530402,33.79834707936081,0.4224793384920101,5360,0.3582089552238806,0.03283582089552238
QQQ,DM,8.551170813006088,11.759098079726527,-7.259150376833928,33.79834707936081,0.4224793384920101,5360,0.30223880597014924,-0.09597014925373133
SPY,SNIPS,4.865745518199017,10.242955672771918,-0.7388922880844132,39.921469878596525,0.49901837348245665,5360,0.3701492537313433,0.04985074626865672
SPY,IPS,5.021995076473099,11.514675458555283,-0.7290416057206102,39.921469878596525,0.49901837348245665,5360,0.3694029850746269,0.04955223880597015
SPY,DR,5.777361514739763,12.17000222235487,-0.8405213817924942,39.921469878596525,0.49901837348245665,5360,0.3664179104477612,0.033134328358208946
SPY,DM,6.090674466629075,8.784483891519264,-4.113360903549838,39.921469878596525,0.49901837348245665,5360,0.3238805970149254,-0.04925373134328357
