asset,evidence_type,m,MAE_bp,Bias_bp,Mean_ESS,N_Windows,N_Seeds,Baseline_MAE_bp,Baseline_ESS,MAE_Change_pct,ESS_Change_pct
IWM,recent_original_policy,80,4.2788433106303065,1.660841369428481,1107.9923182714178,33,20,4.317919991152856,1082.1846152785372,-0.9049885269438729,2.384778218847461
IWM,target_aware_relogging,80,4.273909676158452,1.653940926158368,1118.210720362275,33,20,4.317919991152856,1082.1846152785372,-1.019248042682086,3.3290165628962587
QQQ,recent_original_policy,80,6.986505904166265,-1.8224385276293857,662.3615608543873,33,20,7.156719352028711,644.3906300840971,-2.3783725404042277,2.788825586732213
QQQ,target_aware_relogging,80,7.023685300875099,-1.8148624836273466,669.1380855977122,33,20,7.156719352028711,644.3906300840971,-1.8588691914529387,3.8404431036474618
SPY,recent_original_policy,80,4.711406056846759,-1.1455989283338923,1033.0059065058126,33,20,4.715492579551124,1007.8540985205369,-0.08666162941463051,2.4955802652583126
SPY,target_aware_relogging,80,4.682056914358827,-1.1121529117451496,1043.3271510104437,33,20,4.715492579551124,1007.8540985205369,-0.7090598623204603,3.519661480960279
